review_id,review_text,true_sentiment,predicted_sentiment,confidence,aspects,num_aspects,battery_sentiment,battery_confidence,performance_sentiment,performance_confidence,design_sentiment,design_confidence,audio_sentiment,audio_confidence,durability_sentiment,durability_confidence,camera_sentiment,camera_confidence,screen_sentiment,screen_confidence,price_sentiment,price_confidence,signal_sentiment,signal_confidence,storage_sentiment,storage_confidence
0,"i have had this phone for about a year. i have dropped it on tile, pavement, etc. no issues at all, extremely durable. my only complaint is that the headphones output is not stronger. but pretty much ",Positive,Positive,0.997999370098114,"['battery', 'performance', 'design', 'audio', 'durability']",5,Positive,0.9903038144111633,Positive,0.9759913086891174,Positive,0.9903038144111633,Positive,0.9759913086891174,Positive,0.9989087581634521,,,,,,,,,,
1,very good quality. easy set up and fast delivery.,Positive,Positive,0.998953104019165,"['camera', 'performance', 'durability']",3,,,Positive,0.9983622431755066,,,,,Positive,0.998290479183197,Positive,0.998290479183197,,,,,,,,
2,"careful when purchasing​ phone, many users are having issues with the touch screen. i have had mine for only a month and need to have it replaced since the right side of the screen is no longer respon",Negative,Negative,0.9516765475273132,['screen'],1,,,,,,,,,,,,,Negative,0.9563413858413696,,,,,,
3,product was as described.,Positive,Positive,0.998599112033844,[],0,,,,,,,,,,,,,,,,,,,,
4,sending back for refund. phone did not work right out of box and you can clearly tell this was not a new phone even though it was advertised as new. that is what i get for buying online.,Negative,Negative,0.9961347579956055,['performance'],1,,,Negative,0.9966279864311218,,,,,,,,,,,,,,,,
5,"love this phone, last one i had was back to note4. i recently had a moto g4plus never again. staying with samsung. didn’t know much about purchasing a phone online so glad everything worked out well.",Positive,Positive,0.9977210164070129,"['battery', 'durability']",2,Positive,0.9962772727012634,,,,,,,Positive,0.9962772727012634,,,,,,,,,,
6,good price. first experience with android. at present the phone is smarter than i am. still trying to figure out how it works. sometimes it does not respond like i think it should. wish it had three m,Positive,Positive,0.972477912902832,"['performance', 'price', 'audio']",3,,,Positive,0.6837360858917236,,,Positive,0.9335308074951172,,,,,,,Negative,0.992579996585846,,,,
7,"simple no-brainer single-sim nokia phone, as always well made, battery lasts for at least a week, built-in flashlight.",Positive,Positive,0.9988786578178406,['battery'],1,Positive,0.9988697171211243,,,,,,,,,,,,,,,,,,
8,"phone is in excellent condition and everything works really good. battery does not last long , probably will have to replace it in future. came with a non original charger. other than that excellent p",Positive,Positive,0.9955216646194458,"['battery', 'performance', 'durability']",3,Neutral,0.5298929214477539,Positive,0.9985601305961609,,,,,Neutral,0.46658942103385925,,,,,,,,,,
9,"phone works great so far, but fragile. either never drop it or get the biggest toughest case you can. any drop on any surface will scratch it or crack it. stylus is great and ads a lot of functionalit",Positive,Positive,0.9650856256484985,"['performance', 'design', 'durability', 'signal']",4,,,Positive,0.9881716370582581,Positive,0.9978571534156799,,,Negative,0.9272566437721252,,,,,,,Negative,0.818149983882904,,
10,just what my daughter wanted. she is very happy with it.,Positive,Positive,0.9983206391334534,[],0,,,,,,,,,,,,,,,,,,,,
11,"singal is terrible,",Negative,Negative,0.9931440353393555,[],0,,,,,,,,,,,,,,,,,,,,
